indicator_value,indicator_type,threat_name,description,confidence,date_added,references,tags
"HKLM\Software\Microsoft\Windows\CurrentVersion\Run",registry_key,Grandoreiro,"Clave de registro para ejecución automática a nivel de máquina",High,2023-01-01,Fragment 8,"T1547.001;persistence;registry;boot;system_level"
"HKCU\Software\Microsoft\Windows\CurrentVersion\Run",registry_key,Grandoreiro,"Clave de registro para ejecución automática a nivel de usuario",High,2023-01-01,Fragment 8,"T1547.001;persistence;registry;login;user_level"
"Task Scheduler",scheduled_task,Grandoreiro,"Creación de tarea programada para mantener persistencia",Medium,2023-01-01,Fragment 35,"T1053.005;persistence;scheduled_task"
"HKCU\Software\%USERNAME%",registry_key,Grandoreiro,"Clave de registro con nombre dinámico para configuración",Medium,2023-01-01,Fragment 14,"T1112;configuration;registry;dynamic_naming"
"HKCU\Software\ToolTech-RM",registry_key,Grandoreiro,"Clave de registro con nombre estático para configuración",Medium,2023-01-01,Fragment 14,"T1112;configuration;registry;static_naming"
"C:\Public\*.cfg",config_file,Grandoreiro,"Archivo de configuración con funciones habilitadas",Medium,2023-01-01,Fragment 6,"configuration;file_based;persistence_check"
"C:\Public\*.xml",config_file,Grandoreiro,"Archivo XML con ubicación del ejecutable y fecha de infección",Medium,2023-01-01,Fragment 6,"configuration;file_based;persistence_reference"
"ZTP@11",mutex,Grandoreiro,"Mutex para prevenir múltiples instancias del malware",High,2023-01-01,Fragment 4,"execution_control;instance_management"
"HKCU\Software\Microsoft\Windows\CurrentVersion\Run\HYNCDLXKKIO",registry_value,Grandoreiro,"Valor específico observado en la clave Run que apunta al ejecutable cargador kitbootnetsuuui.exe",High,2024-03-01,,"T1547.001;persistence;registry;specific_value"
"Mutex basado en fecha actual",mutex_pattern,Grandoreiro,"Mutex cuyo nombre se genera basándose en la fecha de ejecución para prevenir múltiples instancias del malware ejecutándose concurrentemente",Medium,2024-03-01,,"execution_control;instance_management;dynamic_naming"
"HKEY_CURRENT_USER\Software\Microsoft\Windows\CurrentVersion\Run",registry_key,Grandoreiro,"Ruta de registro completa utilizada por Grandoreiro para lograr persistencia que asegura la ejecución automática cada vez que el usuario actual inicia sesión",High,2024-03-01,,"persistencia;registro;run_key;T1547.001"
"HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\Run",registry_key,Grandoreiro,"Ruta de registro a nivel de sistema utilizada para persistencia, asegurando la ejecución independientemente del usuario que inicie sesión",High,2024-03-01,,"persistencia;registro;run_key;T1547.001"
